Date 1,Date 2,Similarity
2016-09-14,2017-09-14,1.0
2022-01-19,2022-04-11,1.0
2022-10-29,2022-07-18,1.0
2022-11-13,2021-12-14,1.0
2016-08-08,2016-11-24,1.0
2016-09-28,2017-09-28,1.0
2022-07-23,2022-07-24,1.0
2021-12-02,2022-11-01,1.0
2017-04-14,2017-05-14,1.0
2016-08-18,2016-10-29,1.0
2021-12-26,2022-11-25,1.0
2017-03-19,2017-07-27,1.0
2016-11-15,2016-08-17,1.0
2017-09-05,2016-09-05,1.0
2017-05-20,2017-04-08,1.0
2022-11-30,2021-12-31,1.0
2016-11-11,2016-08-21,1.0
2017-07-23,2016-11-09,1.0
2017-07-23,2017-08-23,1.0
2017-03-01,2016-10-01,1.0
2021-12-09,2022-11-08,1.0
2021-12-13,2022-11-12,1.0
2016-09-01,2017-09-01,1.0
2021-12-16,2022-11-15,1.0
2017-10-10,2017-08-10,1.0
2021-09-08,2021-09-07,1.0
2016-09-23,2017-09-23,1.0
2017-10-04,2017-08-04,1.0
2016-09-07,2017-09-07,1.0
2016-09-07,2016-09-08,1.0
2017-09-07,2016-09-08,1.0
2022-11-17,2021-12-18,1.0
2017-05-25,2017-04-25,1.0
2016-10-11,2016-08-11,1.0
2017-04-21,2017-05-21,1.0
2017-07-28,2017-03-06,1.0
2017-03-22,2017-07-12,1.0
2017-05-23,2017-04-23,1.0
2016-09-25,2017-09-25,1.0
2016-08-01,2016-11-26,1.0
2022-01-10,2022-04-02,1.0
2016-11-09,2017-08-23,1.0
2021-12-30,2022-11-29,1.0
2022-04-24,2022-01-01,1.0
2022-04-13,2022-01-17,1.0
2017-03-12,2017-07-22,1.0
2016-11-25,2016-08-07,1.0
2022-07-30,2022-10-04,1.0
2016-09-12,2017-09-12,1.0
2017-08-08,2017-02-08,1.0
2021-12-12,2022-11-11,1.0
2016-10-10,2016-11-22,1.0
2022-07-26,2022-10-26,1.0
2017-08-24,2017-10-24,1.0
2022-11-21,2021-12-22,1.0
2022-11-20,2021-12-21,1.0
2017-08-21,2017-10-21,1.0
2017-10-31,2017-08-31,1.0
2021-04-10,2022-08-10,1.0
2017-03-10,2017-07-10,1.0
2016-08-04,2016-11-28,1.0
2016-11-23,2016-08-09,1.0
2017-09-19,2016-09-19,1.0
2022-04-15,2022-01-23,0.9998
2022-01-23,2022-01-24,0.9998
2017-05-06,2017-04-24,0.9998
2016-11-01,2016-10-28,0.9998
2022-01-21,2022-04-12,0.9998
2017-03-29,2017-07-18,0.9998
2022-08-28,2021-04-28,0.9997
2022-08-29,2021-04-29,0.9997
2017-08-02,2017-02-02,0.9995
2020-08-01,2020-08-31,0.9995
2017-07-11,2017-03-11,0.9995
2016-09-24,2017-09-24,0.9995
2022-07-28,2022-10-06,0.9995
2016-10-06,2016-08-28,0.9995
2017-01-16,2017-05-20,0.9995
2017-01-16,2017-04-08,0.9995
2022-01-02,2022-04-29,0.9995
2021-04-14,2022-08-14,0.9995
2021-04-12,2022-08-12,0.9995
2016-11-20,2016-10-22,0.9995
2017-06-29,2016-12-29,0.9995
2022-08-24,2021-04-24,0.9995
2021-04-20,2022-08-20,0.9995
2022-08-07,2021-04-07,0.9995
2022-08-09,2021-04-09,0.9995
2022-08-27,2021-04-27,0.9995
2017-01-10,2017-04-02,0.9994
2017-01-10,2022-01-10,0.9994
2017-01-10,2022-04-02,0.9994
2017-01-12,2017-05-29,0.9993
2016-10-23,2017-03-23,0.9993
2017-05-11,2017-01-19,0.9993
2017-05-11,2017-04-11,0.9993
2017-07-29,2017-03-28,0.9993
2017-08-09,2017-02-09,0.9993
2017-06-23,2016-12-23,0.9993
2017-08-19,2017-02-19,0.9993
2017-10-19,2017-02-19,0.9993
2022-08-21,2021-04-21,0.9992
2017-04-02,2022-01-10,0.9991
2017-04-02,2022-04-02,0.9991
2017-04-27,2022-04-27,0.9991
2017-01-14,2017-04-06,0.9991
2017-01-24,2017-01-23,0.9991
2017-02-28,2017-07-25,0.9991
2017-01-19,2017-04-11,0.999
2016-10-27,2017-03-27,0.999
2021-10-03,2021-10-17,0.999
2017-02-01,2016-10-06,0.999
2016-12-18,2017-06-18,0.999
2020-10-26,2020-10-08,0.999
2016-12-12,2017-06-12,0.999
2016-11-02,2016-10-04,0.999
2016-11-11,2016-10-14,0.999
2016-08-21,2016-10-14,0.999
2017-06-19,2016-12-19,0.999
2022-08-18,2021-04-18,0.999
2021-04-19,2022-08-19,0.999
2017-06-06,2016-12-06,0.999
2022-08-11,2021-04-11,0.999
2022-08-03,2021-04-03,0.9989
2021-04-16,2022-08-16,0.9989
2017-02-28,2016-08-25,0.9988
2017-03-24,2016-10-24,0.9988
2022-10-05,2021-10-05,0.9988
2016-10-17,2016-11-03,0.9988
2017-05-03,2017-01-07,0.9988
2016-12-04,2017-06-04,0.9988
2017-01-21,2017-04-12,0.9988
2017-06-22,2016-12-22,0.9988
2017-10-04,2017-02-04,0.9987
2017-02-04,2017-08-04,0.9987
2022-07-12,2022-10-22,0.9987
2021-04-25,2022-08-25,0.9987
2021-11-13,2021-05-13,0.9987
2021-09-19,2017-09-19,0.9987
2021-09-19,2016-09-19,0.9987
2021-05-27,2021-11-27,0.9986
2016-10-23,2017-08-28,0.9986
2016-10-13,2016-10-12,0.9986
2017-05-03,2017-04-30,0.9985
2017-02-01,2016-08-28,0.9985
2017-08-18,2017-02-18,0.9985
2022-08-15,2021-04-15,0.9984
2022-08-22,2021-04-22,0.9984
2016-11-07,2017-02-28,0.9984
2017-02-28,2016-10-23,0.9984
2016-10-23,2021-06-26,0.9984
2017-02-28,2017-08-28,0.9984
2017-08-28,2017-03-23,0.9984
2017-07-25,2017-08-28,0.9984
2016-10-24,2017-07-09,0.9983
2022-03-29,2017-12-29,0.9983
2016-11-30,2016-10-12,0.9983
2017-03-28,2017-02-02,0.9983
2016-08-29,2017-08-02,0.9983
2017-08-02,2017-03-28,0.9983
2021-12-03,2016-12-03,0.9983
2022-11-02,2016-12-03,0.9983
2021-10-27,2017-03-27,0.9983
2017-03-27,2017-11-15,0.9983
2022-10-19,2021-10-19,0.9983
2022-07-27,2021-10-19,0.9983
2021-08-11,2017-02-11,0.9983
2017-07-31,2016-10-03,0.9983
2016-10-03,2017-03-03,0.9983
2017-03-17,2016-10-17,0.9983
2017-01-18,2017-05-18,0.9983
2017-10-04,2016-10-04,0.9982
2017-08-04,2016-10-04,0.9982
2017-12-19,2022-03-19,0.9982
2017-03-22,2016-10-22,0.9982
2016-10-22,2017-07-12,0.9982
2017-04-17,2017-05-12,0.9982
2021-05-22,2021-11-22,0.9982
2022-10-08,2017-11-26,0.9982
2017-11-26,2022-07-26,0.9982
2017-11-26,2022-10-26,0.9982
2021-11-06,2021-05-06,0.9981
2017-07-13,2022-07-13,0.9981
2017-06-15,2016-12-15,0.9981
2016-11-07,2016-08-25,0.9981
2017-02-28,2017-03-23,0.9981
2021-06-26,2017-03-23,0.9981
2021-08-14,2017-08-14,0.9981
2017-07-20,2016-11-12,0.9981
2021-09-23,2017-02-07,0.9981
2022-07-20,2016-11-12,0.9981
2017-03-15,2016-10-15,0.9981
2017-02-21,2021-08-21,0.9981
2016-10-20,2017-03-20,0.9981
2017-07-29,2017-02-02,0.9981
2017-08-02,2017-07-29,0.9981
2017-06-03,2016-12-03,0.9981
2017-04-26,2022-01-05,0.9981
2017-02-06,2017-08-06,0.998
2017-02-01,2017-08-01,0.998
2021-11-30,2021-05-30,0.998
2021-12-30,2016-12-30,0.998
2016-11-10,2016-08-02,0.998
2017-01-11,2017-05-30,0.998
2022-04-06,2022-01-14,0.998
2016-09-29,2021-09-29,0.998
2017-09-29,2021-09-29,0.998
2017-02-04,2022-02-04,0.9979
2016-12-02,2017-06-02,0.9979
2021-11-04,2021-05-04,0.9979
2017-05-09,2017-04-19,0.9979
2022-08-08,2021-04-08,0.9979
2017-07-25,2016-08-25,0.9979
2017-03-24,2022-10-24,0.9979
2017-02-17,2021-08-17,0.9979
2017-04-26,2022-04-26,0.9978
2017-01-05,2022-01-05,0.9978
2017-03-05,2017-02-02,0.9978
2016-08-29,2017-02-02,0.9978
2017-03-28,2021-10-28,0.9978
2022-07-29,2021-10-28,0.9978
2017-03-05,2017-08-02,0.9978
2016-08-29,2017-07-29,0.9978
2017-07-29,2022-07-29,0.9978
2017-08-22,2021-08-22,0.9978
2021-11-18,2021-05-18,0.9978
2017-06-05,2016-12-05,0.9978
2017-06-20,2016-12-20,0.9978
2016-11-03,2016-10-03,0.9978
2017-11-28,2016-09-14,0.9978
2017-11-28,2017-09-14,0.9978
2021-05-26,2021-11-26,0.9978
2017-05-22,2017-01-09,0.9978
2017-04-22,2017-01-09,0.9978
2016-11-15,2016-10-30,0.9977
2016-08-17,2016-10-30,0.9977
2017-03-16,2016-10-16,0.9977
2022-10-16,2022-07-19,0.9977
2017-07-30,2016-10-04,0.9977
2017-03-04,2016-10-04,0.9977
2017-07-30,2017-02-04,0.9977
2017-02-04,2021-08-04,0.9977
2017-02-04,2017-03-04,0.9977
2017-04-15,2017-01-23,0.9977
2017-05-15,2017-01-23,0.9977
2016-11-20,2017-03-22,0.9977
2016-11-20,2017-07-12,0.9977
2016-10-18,2017-03-18,0.9977
2016-11-07,2017-08-28,0.9977
2017-08-28,2016-08-25,0.9977
2017-12-14,2022-03-14,0.9977
2017-03-24,2017-07-09,0.9976
2021-04-04,2022-08-04,0.9976
2022-01-29,2017-05-08,0.9976
2017-06-11,2016-12-11,0.9976
2016-09-23,2017-02-07,0.9976
2017-02-07,2017-09-23,0.9976
2017-08-07,2021-08-07,0.9976
2020-12-16,2021-04-16,0.9976
2021-10-28,2017-02-02,0.9976
2017-03-05,2017-03-28,0.9976
2016-08-29,2017-03-28,0.9976
2017-07-29,2021-10-28,0.9976
2017-03-28,2022-07-29,0.9976
2017-06-17,2016-12-17,0.9976
2017-07-15,2017-03-27,0.9976
2021-08-06,2021-06-04,0.9976
2017-01-18,2017-04-10,0.9975
2016-10-10,2017-03-10,0.9975
2016-10-10,2017-07-10,0.9975
2016-11-22,2017-03-10,0.9975
2016-11-22,2017-07-10,0.9975
2021-08-18,2021-09-13,0.9975
2022-07-08,2021-06-14,0.9975
2017-08-26,2017-02-26,0.9975
2017-02-28,2022-07-25,0.9974
2021-10-23,2017-03-23,0.9974
2016-11-07,2017-07-25,0.9974
2016-10-23,2017-07-25,0.9974
2021-06-26,2017-08-28,0.9974
2021-08-14,2021-06-12,0.9974
2017-08-14,2021-06-12,0.9974
2021-11-23,2021-05-23,0.9974
2016-11-23,2017-07-09,0.9974
2016-08-09,2017-07-09,0.9974
2021-12-06,2017-06-06,0.9974
2021-12-06,2016-12-06,0.9974
2017-06-06,2022-11-05,0.9974
2022-11-05,2016-12-06,0.9974
2017-07-26,2022-10-08,0.9974
2017-07-26,2022-07-26,0.9974
2017-07-26,2022-10-26,0.9974
2022-10-08,2017-03-26,0.9974
2022-10-08,2017-03-08,0.9974
2017-03-26,2022-07-26,0.9974
2017-03-26,2022-10-26,0.9974
2022-07-26,2017-03-08,0.9974
2017-03-08,2022-10-26,0.9974
2017-04-04,2022-04-04,0.9974
2016-09-23,2017-08-07,0.9974
2017-08-07,2017-09-23,0.9974
2016-10-13,2017-08-21,0.9974
2016-10-13,2017-10-21,0.9974
2017-08-21,2016-10-12,0.9974
2017-10-21,2016-10-12,0.9974
2022-10-12,2022-10-13,0.9974
2022-07-22,2022-10-13,0.9974
2022-07-29,2017-02-02,0.9974
2017-01-11,2017-04-03,0.9974
2017-08-02,2022-07-29,0.9974
2016-11-17,2017-07-15,0.9973
2016-08-15,2017-07-15,0.9973
2016-11-17,2016-10-27,0.9973
2022-07-15,2017-07-15,0.9973
2017-07-15,2017-11-15,0.9973
2016-10-27,2021-10-27,0.9973
2016-10-27,2017-11-15,0.9973
2017-08-22,2017-02-22,0.9973
2017-04-30,2017-01-07,0.9973
2021-09-21,2017-09-21,0.9973
2017-08-09,2021-08-09,0.9973
2017-07-08,2017-08-16,0.9973
2017-08-16,2016-08-08,0.9973
2017-08-16,2016-11-24,0.9973
2017-01-17,2017-04-13,0.9973
2017-01-25,2022-01-25,0.9972
2021-08-26,2017-02-26,0.9972
2017-04-15,2017-01-24,0.9972
2017-05-15,2017-01-24,0.9972
2016-11-07,2022-07-25,0.9972
2016-11-07,2016-10-23,0.9972
2022-07-25,2016-10-23,0.9972
2017-02-28,2021-06-26,0.9972
2022-07-25,2016-08-25,0.9972
2016-12-07,2017-06-07,0.9972
2016-10-23,2016-08-25,0.9972
2021-10-23,2017-08-28,0.9972
2017-03-23,2022-10-23,0.9972
2017-07-25,2017-03-23,0.9972
2021-08-25,2022-02-25,0.9972
2017-10-04,2016-11-02,0.9972
2016-11-02,2017-08-04,0.9972
2017-03-14,2017-07-21,0.9972
2016-11-11,2017-07-21,0.9972
2017-07-21,2016-08-21,0.9972
2021-08-17,2017-08-17,0.9972
2021-09-02,2021-10-02,0.9972
2021-11-02,2021-10-02,0.9972
2022-01-29,2017-01-29,0.9972
2017-07-03,2022-07-03,0.9971
2017-07-20,2022-07-20,0.9971
2017-02-21,2017-08-21,0.9971
2017-02-21,2017-10-21,0.9971
2017-03-05,2016-08-29,0.9971
2017-03-05,2021-10-05,0.9971
2017-03-05,2022-07-29,0.9971
2017-08-02,2021-10-28,0.9971
2022-10-05,2017-08-02,0.9971
2021-10-27,2017-11-15,0.9971
2017-02-20,2021-10-11,0.9971
2016-11-21,2017-07-11,0.9971
2017-07-11,2016-10-11,0.9971
2017-07-11,2016-08-11,0.9971
2022-11-14,2017-06-15,0.9971
2017-06-15,2021-12-15,0.9971
2022-10-03,2022-10-17,0.9971
2022-07-31,2022-10-17,0.9971
2017-03-17,2016-11-03,0.9971
2016-12-16,2017-06-16,0.9971
2016-10-06,2017-08-01,0.9971
2016-09-14,2017-08-01,0.9971
2017-09-14,2017-08-01,0.9971
2016-10-25,2017-03-25,0.997
2022-10-10,2017-03-10,0.997
2022-10-10,2017-07-10,0.997
2017-03-10,2022-07-10,0.997
2017-07-10,2022-07-10,0.997
2022-04-22,2022-01-09,0.997
2016-12-14,2022-11-13,0.997
2016-12-14,2021-12-14,0.997
2017-04-15,2017-04-14,0.997
2017-04-15,2017-05-14,0.997
2017-05-15,2017-04-14,0.997
2017-05-15,2017-05-14,0.997
2021-08-12,2017-08-12,0.997
2016-11-07,2021-06-26,0.997
2016-11-07,2017-03-23,0.997
2022-07-25,2021-06-26,0.997
2022-07-25,2017-03-23,0.997
2021-06-26,2016-08-25,0.997
2016-08-25,2017-03-23,0.997
2022-11-06,2017-06-07,0.997
2021-12-07,2017-06-07,0.997
2017-02-17,2017-08-17,0.9969
2017-07-30,2021-08-04,0.9969
2017-02-04,2016-10-04,0.9969
2021-08-04,2017-03-04,0.9969
2018-02-24,2018-02-23,0.9969
2017-03-22,2022-07-12,0.9969
2022-07-12,2017-07-12,0.9969
2021-06-13,2017-08-15,0.9969
2017-02-07,2021-08-07,0.9969
2017-02-21,2022-10-13,0.9969
2021-09-11,2021-10-12,0.9969
2022-07-03,2017-11-03,0.9969
2021-10-05,2017-02-02,0.9969
2017-03-05,2022-10-05,0.9969
2017-03-05,2017-07-29,0.9969
2017-08-02,2021-10-05,0.9969
2016-10-19,2016-11-05,0.9968
2021-06-09,2022-02-11,0.9968
2021-08-11,2022-02-11,0.9968
2016-11-27,2017-11-05,0.9968
2017-11-28,2017-08-01,0.9968
2016-12-04,2022-11-03,0.9968
2016-09-14,2017-07-28,0.9968
2016-09-14,2017-03-06,0.9968
2017-07-28,2017-09-14,0.9968
2017-03-06,2017-09-14,0.9968
2017-05-09,2017-01-28,0.9968
2017-01-05,2017-04-26,0.9968
2022-04-14,2022-01-23,0.9968
2022-04-26,2022-01-05,0.9968
2017-04-27,2017-01-04,0.9968
2022-04-27,2017-01-04,0.9968
2022-02-12,2017-07-06,0.9967
2022-07-06,2017-07-06,0.9967
2016-12-26,2021-12-26,0.9967
2016-12-26,2022-11-25,0.9967
2016-10-23,2021-10-23,0.9967
2022-07-25,2017-08-28,0.9967
2021-06-23,2021-08-25,0.9967
2016-11-23,2016-10-24,0.9967
2016-10-24,2016-08-09,0.9967
2017-02-17,2022-02-17,0.9967
2021-06-15,2017-03-24,0.9967
2022-10-24,2016-10-24,0.9967
2017-01-11,2022-01-11,0.9967
2022-04-25,2017-05-25,0.9967
2022-04-25,2017-04-25,0.9967
2017-07-19,2016-08-19,0.9967
2017-04-20,2017-05-08,0.9967
2017-05-08,2017-01-29,0.9967
2017-07-30,2016-11-02,0.9967
2017-03-04,2016-11-02,0.9967
2017-10-04,2022-02-04,0.9967
2017-08-04,2022-02-04,0.9967
2016-11-30,2017-08-21,0.9967
2016-11-30,2017-10-21,0.9967
2016-09-16,2021-09-16,0.9967
2017-09-16,2021-09-16,0.9967
2022-10-12,2017-02-21,0.9967
2022-07-22,2017-02-21,0.9967
2017-02-21,2017-03-12,0.9967
2017-02-21,2017-07-22,0.9967
2022-10-12,2021-08-21,0.9967
2022-07-22,2021-08-21,0.9967
2021-06-19,2021-09-11,0.9967
2017-03-22,2022-10-22,0.9966
2017-07-12,2022-10-22,0.9966
2016-10-28,2021-08-02,0.9966
2016-08-29,2022-07-29,0.9966
2022-10-05,2017-02-02,0.9966
2017-03-28,2021-10-05,0.9966
2021-04-02,2022-08-02,0.9966
2016-10-27,2017-07-15,0.9966
2016-11-21,2017-03-11,0.9966
2016-10-11,2017-03-11,0.9966
2016-08-11,2017-03-11,0.9966
2022-10-11,2017-07-11,0.9966
2022-07-11,2017-07-11,0.9966
2022-01-03,2022-04-28,0.9966
2022-02-11,2017-02-11,0.9966
2016-10-17,2016-10-03,0.9966
2017-07-31,2016-11-03,0.9966
2016-11-03,2017-03-03,0.9966
2017-02-10,2017-10-10,0.9966
2017-02-10,2017-08-10,0.9966
2017-08-03,2017-02-03,0.9966
2017-10-03,2017-02-03,0.9966
2016-08-28,2017-08-01,0.9966
2017-02-09,2021-08-09,0.9966
2016-11-18,2017-11-14,0.9966
2017-11-14,2016-08-14,0.9966
2017-06-30,2021-12-30,0.9966
2017-06-30,2022-11-29,0.9966
2016-08-13,2017-07-13,0.9966
2016-11-19,2017-07-13,0.9966
2017-03-21,2016-10-21,0.9965
2020-12-16,2022-08-16,0.9965
2022-01-04,2017-01-04,0.9965
2016-12-09,2017-06-09,0.9965
2022-04-14,2022-04-15,0.9965
2022-04-14,2022-01-24,0.9965
2017-06-13,2016-12-13,0.9965
2022-10-29,2021-10-29,0.9965
2022-07-18,2021-10-29,0.9965
2016-10-23,2022-10-23,0.9965
2021-10-23,2022-10-23,0.9965
2022-07-25,2017-07-25,0.9965
2017-08-28,2022-10-23,0.9965
2022-07-17,2017-03-30,0.9965
2021-06-23,2017-08-25,0.9965
2017-05-30,2022-01-11,0.9965
2021-06-15,2016-10-24,0.9965
2017-01-14,2022-01-14,0.9964
2017-04-06,2022-01-14,0.9964
2017-02-07,2017-08-07,0.9964
2016-10-13,2017-02-21,0.9964
2022-10-13,2021-08-21,0.9964
2016-10-20,2021-10-20,0.9964
2017-06-01,2016-12-01,0.9964
2022-10-31,2021-10-31,0.9964
2017-03-05,2021-10-28,0.9964
2016-11-01,2021-08-02,0.9964
2016-08-29,2021-10-28,0.9964
2016-08-29,2022-10-05,0.9964
2022-10-05,2017-03-28,0.9964
2021-12-03,2017-06-03,0.9964
2017-06-03,2022-11-02,0.9964
2016-11-17,2017-03-27,0.9964
2016-08-15,2017-03-27,0.9964
2021-10-27,2017-07-15,0.9964
2017-07-08,2016-08-08,0.9963
2017-07-08,2016-11-24,0.9963
2017-02-27,2021-08-27,0.9963
2022-02-06,2021-08-06,0.9963
2021-12-24,2017-06-24,0.9963
2022-11-23,2017-06-24,0.9963
2016-10-17,2021-10-17,0.9963
2022-11-17,2017-06-18,0.9963
2021-12-18,2017-06-18,0.9963
2021-04-30,2022-08-30,0.9963
2022-02-19,2016-09-12,0.9963
2022-02-19,2017-09-12,0.9963
2016-09-12,2017-03-10,0.9963
2016-09-12,2017-07-10,0.9963
2017-09-12,2017-03-10,0.9963
2017-09-12,2017-07-10,0.9963
2017-02-28,2022-10-23,0.9963
2021-06-26,2022-10-23,0.9963
2021-06-26,2017-07-25,0.9963
2017-05-30,2017-04-03,0.9962
2016-12-14,2017-06-14,0.9962
2021-06-15,2017-07-09,0.9962
2022-01-29,2022-04-20,0.9962
2017-03-15,2016-11-12,0.9962
2022-10-12,2021-09-11,0.9962
2022-07-22,2021-09-11,0.9962
2017-08-21,2021-08-21,0.9962
2017-10-21,2021-08-21,0.9962
2022-10-16,2017-03-16,0.9962
2017-11-19,2016-10-16,0.9962
2017-11-30,2017-02-04,0.9962
2022-07-30,2021-10-04,0.9962
2021-10-04,2022-10-04,0.9962
2016-08-29,2021-10-05,0.9962
2022-10-05,2017-07-29,0.9961
2021-12-01,2016-12-01,0.9961
2017-07-21,2016-10-14,0.9961
2016-11-17,2022-07-15,0.9961
2021-10-22,2016-11-20,0.9961
2021-08-22,2021-06-20,0.9961
2021-08-22,2017-02-22,0.9961
2017-08-29,2017-03-19,0.9961
2017-08-29,2017-07-27,0.9961
2017-07-08,2017-03-25,0.9961
2016-11-21,2017-08-20,0.9961
2017-07-11,2017-08-20,0.9961
2016-10-11,2017-08-20,0.9961
2017-08-20,2016-08-11,0.9961
2022-10-11,2017-03-11,0.9961
2022-07-11,2017-03-11,0.9961
2017-02-10,2022-07-05,0.9961
2017-03-17,2017-07-31,0.9961
2017-03-17,2017-03-03,0.9961
2017-03-17,2021-10-17,0.9961
2016-11-03,2021-10-17,0.9961
2022-07-05,2017-10-10,0.9961
2022-07-05,2017-08-10,0.9961
2016-09-14,2017-02-01,0.9961
2016-09-14,2016-10-06,0.9961
2017-02-01,2017-09-14,0.9961
2016-10-06,2017-09-14,0.9961
2021-06-24,2021-08-26,0.9961
2016-12-08,2017-06-08,0.9961
2021-06-10,2021-08-12,0.996
2022-07-06,2017-08-12,0.996
2016-11-25,2017-07-07,0.996
2016-08-07,2017-07-07,0.996
2021-11-16,2021-05-16,0.996
2022-07-17,2017-07-17,0.996
2016-09-02,2022-04-20,0.996
2017-09-02,2022-04-20,0.996
2021-09-23,2021-08-07,0.9959
2017-05-25,2017-01-06,0.9959
2017-04-25,2017-01-06,0.9959
2022-10-20,2017-03-20,0.9959
2022-02-02,2022-10-05,0.9959
2017-07-29,2021-10-05,0.9959
2017-07-30,2017-10-04,0.9959
2017-07-30,2017-08-04,0.9959
2017-10-04,2017-03-04,0.9959
2017-02-04,2016-11-02,0.9959
2021-06-02,2021-08-04,0.9959
2021-08-04,2022-10-04,0.9959
2017-03-04,2017-08-04,0.9959
2016-12-10,2017-06-10,0.9959
2021-11-24,2021-05-24,0.9959
2017-08-22,2021-06-20,0.9959
2017-02-20,2017-08-20,0.9959
2016-11-29,2017-07-03,0.9959
2017-07-03,2016-08-03,0.9959
2016-10-17,2022-10-17,0.9958
2021-10-03,2017-08-06,0.9958
2017-08-30,2021-09-06,0.9958
2016-10-17,2021-06-04,0.9958
2022-01-16,2017-05-20,0.9958
2022-01-16,2017-04-08,0.9958
2017-05-20,2022-04-08,0.9958
2022-04-08,2017-04-08,0.9958
2017-07-28,2016-10-06,0.9958
2017-03-06,2016-10-06,0.9958
2021-06-07,2017-02-09,0.9958
2020-12-04,2022-08-04,0.9958
2022-07-06,2021-08-12,0.9958
2016-08-06,2017-08-12,0.9958
2021-08-28,2016-08-25,0.9958
2017-05-18,2017-04-10,0.9958
2016-09-12,2017-02-19,0.9958
2017-09-12,2017-02-19,0.9958
2016-09-13,2021-08-18,0.9958
2022-11-14,2016-12-15,0.9957
2021-12-15,2016-12-15,0.9957
2017-04-20,2022-04-20,0.9957
2016-12-21,2022-11-20,0.9957
2016-12-21,2021-12-21,0.9957
2017-03-15,2022-07-20,0.9957
2017-03-01,2022-10-01,0.9957
2022-10-01,2016-10-01,0.9957
2021-08-02,2016-10-05,0.9957
2022-02-02,2017-03-28,0.9957
2017-08-08,2021-08-08,0.9957
2021-08-08,2017-02-08,0.9957
2017-09-27,2021-09-27,0.9957
2021-09-27,2016-09-27,0.9957
2021-12-17,2016-12-17,0.9957
2016-12-17,2022-11-16,0.9957
2016-11-13,2017-11-19,0.9957
2017-11-19,2016-08-19,0.9957
2016-11-17,2017-11-15,0.9957
2016-08-15,2017-11-15,0.9957
2016-10-27,2022-10-27,0.9957
2022-10-27,2017-03-27,0.9957
2017-01-28,2017-04-19,0.9956
2017-07-30,2022-02-04,0.9956
2017-11-30,2017-11-02,0.9956
2017-02-04,2021-06-02,0.9956
2021-08-04,2022-02-04,0.9956
2017-03-04,2022-02-04,0.9956
2021-08-04,2021-10-04,0.9956
2022-04-16,2022-01-25,0.9956
2021-06-20,2017-02-22,0.9956
2022-10-19,2021-10-07,0.9956
